Title,Genre,Description,Text_cleaning,Predicted_Genre
49, Jump In: The Movie (2013) ," ""In taking risks, there are no guarantees"". Jump In is a movie about a single mother and recent law school graduate, determined to pass the Bar exam when she is blindsided by the unthinkable; the experience changes her, coloring the lives of those closest to her, in a story of hope, love and forgiveness.",taking risks guarantees jump movie single mother recent law school graduate determined pass bar exam blindsided unthinkable experience changes coloring lives closest story hope love forgiveness, drama 
50, The Lazy Desperation (2006) ," Albania, June 2006. We are hosted by a dim and opalescent light, which gets in the way of the curiosity of our eyes. The more we move inland toward Tirana, the more the dust rises from the street; then the dust mingles with the exhaust gases of a traffic which is desperately trying to mock the uproar we are used to in Europe. Fifteen years have elapsed since the first waves of ships and boats filled with Albanians escaping from desolation reached Italy, the close coasts of Apulia. They were refugees escaping from a disconcerting poverty and an oppressive socialism which forbid everything in a Country, ridiculously militarized, where nobody could leave and nobody could enter. The new democratic political order bursts out in a crazy rush toward an elusive economic welfare, admired through old tv-sets tuned on Italian tv stations. Albania, one of the poorest Country on earth, visited by Christ, then Allah and finally Mao, now feels European.",albania june hosted dim opalescent light gets way curiosity eyes move inland toward tirana dust rises street dust mingles exhaust gases traffic desperately trying mock uproar used europe fifteen years elapsed since first waves ships boats filled albanians escaping desolation reached italy close coasts apulia refugees escaping disconcerting poverty oppressive socialism forbid everything country ridiculously militarized nobody could leave nobody could enter new democratic political order bursts crazy rush toward elusive economic welfare admired old sets tuned italian stations albania one poorest country earth visited christ allah finally mao feels european, drama 
51," Jasper, Texas (2003) "," In 1998, three white men in the small town of Jasper, Texas, chained a black man to the back of their pickup truck and dragged him to his death. This film relates that story and how it affected all of the residents of the town, both black and white.",three white men small town jasper texas chained black man back truck dragged death film relates story affected residents town black white, drama 
52, Perfect Pie (2002) ," On the invitation of her childhood best friend Patsy McCann née Willets, famed opera singer Francesca Prine - whose real name is Marie Beck - returns to Marmora, Ontario to sing in a benefit concert. Patsy and Marie were best friends from the time Marie and her family arrived in Marmora when she was ten years old to the time she left Marmora at age fifteen, which was thirty years prior. With the exception of Don Rayford on who Marie had a crush, Patsy was shy Marie's only friend in Marmora. However, Marie and Patsy have not been in touch since due to issues that drove Marie out of town at the time. Those issues include Marie being physically abused by her alcoholic mother, but most specifically what happened the evening of the Sadie Hawkins dance - where Don accompanied Marie - and post dance down by the railroad tracks. Marie and Patsy's reunion may not be able to endure the thirty years of silence and the events of that night.",invitation childhood best friend patsy mccann willets famed opera singer francesca prine whose real name marie beck returns marmora ontario sing benefit concert patsy marie best friends time marie family arrived marmora ten years old time left marmora age fifteen thirty years prior exception rayford marie crush patsy shy maries friend marmora however marie patsy touch since due issues drove marie town time issues include marie physically abused alcoholic mother specifically happened evening sadie hawkins dance accompanied marie post dance railroad tracks marie patsys reunion may able endure thirty years silence events night, drama 
53, Partners in Time (1946) ," Squire Skimp has a new plan to swindle the people of Pine Ridge. However, Lum has something more important on his mind. He has to tell a young engaged couple on the verge of breaking up the story of how the Jot 'em Down store first started (through flashbacks). Based on characters from the popular ""Lum and Abner"" radio program of the time.",squire skimp new plan swindle people pine ridge however lum something important mind tell young engaged couple verge breaking story jot store first started flashbacks based characters popular lum abner radio program time, drama 
54, Manje' (2007) ," How far are you willing to go for love? Nine friends decide to vacation in one of the most rural locations in the country in an attempt to end the mourning period of one of their beloved. Krista is dealing with the recent death of her father and relies on Marc for comfort and protection. Unbeknownst to them a tenth member has joined the festivities, but with less joyous ideas in mind. When their friends start dying, Marc and Krista must unravel an old mystery to avoid becoming victims themselves.",far willing love nine friends decide vacation one rural locations country attempt end mourning period one beloved krista dealing recent death father relies marc comfort protection unbeknownst tenth member joined festivities less joyous ideas mind friends start dying marc krista must unravel old mystery avoid becoming victims, drama 
55," ""Caught"" (2002) "," Tom Capano, a Wilmington, Deleware lawyer, was accused of killing Anne Marie Fahey, scheduling secretary for Delaware Gov. Tom Carper. It was said he stuffing her body into a large insulated cooler and tossed it into the Atlantic Ocean off New Jersey. After a 2 1/2 year investigation gathering evidence to bring Capano to trail, he was convicted of the murder in 1999 without a body being recovered.",tom capano wilmington deleware lawyer accused killing anne marie fahey scheduling secretary delaware gov tom carper said stuffing body large insulated cooler tossed atlantic ocean new jersey year investigation gathering evidence bring capano trail convicted murder without body recovered, drama 
56, Manhole Children (2009) ," The Soviet Union's fall in the early 1990s forced Mongolia to make a sudden transition to a capitalist economy. This rapid introduction of a free market produced overwhelming economic confusion, causing unprecedented levels of unemployment and plunging nearly half the population into poverty. By the winter of 1998, thousands of abandoned children were living under the streets of the capitol, Ulan Bator. With winter temperatures as low as 40 degrees below zero, the manholes provide access to a vast network of steam pipes that heat the city's homes, allowing the children to survive. Living literally underground in a lawless no man's land of theft and violence, the children form packs in order to stay alive. Shot over ten years, the film traces the lives of Boldoo, Dashaa, and Oyun, three of these ""manhole children,"" who reach adulthood while living on the street.",soviet unions fall early forced mongolia make sudden transition capitalist economy rapid introduction free market produced overwhelming economic confusion causing unprecedented levels unemployment plunging nearly half population poverty winter thousands abandoned children living streets capitol ulan bator winter temperatures low degrees zero manholes provide access vast network steam pipes heat citys homes allowing children survive living literally underground lawless mans land theft violence children form packs order stay alive shot ten years film traces lives boldoo dashaa oyun three manhole children reach adulthood living street, drama 
57, Brian (????) ," ""Brian"" is a family drama about Danny Mancini, a vulgar, unscrupulous, ruthless restaurant owner who reluctantly takes in his Autistic teenage nephew, Brian after Brian's mother dies from a drug overdose. Danny, normally one step ahead of everybody and everything, finds that's all about to change with Brian. While taking daily criticism from his ex-wife, Elizabeth who can't help still loving Danny despite her spewing hatred of him, Danny is also dealing with his son, Charlie, who intends to follow in his father's footsteps...much to Danny's dismay. It isn't long before Charlie grows jealous of Brian and Danny's growing relationship. Complications ensue when Danny learns that due to Brian's parents' drug use during the pregnancy, Brian not only developed Autism, but his heart is smaller than normal and is prone to occasional seizures. Despite his health issues, Brian manages to remind Danny what used to be more important to him in life, bringing a warmth to Danny's estranged family, bringing them closer together. ""Brian"" is a story about how an underestimated, sweet Autistic boy is able to open a close minded man's eyes and reuniting an estranged family, helping them learn to depend on each other as they had before, growing to be a family once again.",brian family drama danny mancini vulgar unscrupulous ruthless restaurant owner reluctantly takes autistic teenage nephew brian brians mother dies drug overdose danny normally one step ahead everybody everything finds thats change brian taking daily criticism wife elizabeth cant help still loving danny despite spewing hatred danny also dealing son charlie intends follow fathers footsteps much dannys dismay isnt long charlie grows jealous brian dannys growing relationship complications ensue danny learns due brians parents drug use pregnancy brian developed autism heart smaller normal prone occasional seizures despite health issues brian manages remind danny used important life bringing warmth dannys estranged family bringing closer together brian story underestimated sweet autistic boy able open close minded mans eyes reuniting estranged family helping learn depend growing family, drama 
58, Sin of Lust (1976) ," Carlotta and her male partner are newspaper advertised sex surrogates who make house calls. When a husband who can't satisfy his wife hires Carlotta, he is surprised by her relaxed casual suggestion to have unprotected oral and anal sex in order to help him. He indeed manages to bring her the orgasm he couldn't give his wife. Satisfied, he comes clean to his wife and counters her anger by asking her to schedule a session with Carlotta's male partner. Carlotta is then hired by a whole couple. They too are surprised when she asks them to demonstrate an intercourse, while she first just commentates and then also casually fully joins them. The first wife indeed meets up with Carlotta's male partner, who quickly suggests having sex with her and even slaps her butt during the act. Later on, the first couple invites a third couple over and can't help demonstrating on them the new moves the sex surrogates taught them. The second couple arrives moments later and joins the sex orgy as well. The film ends with the first husband suggesting the frustrated couples in the audience to hire sex surrogates, followed by Carlotta and her male partner having a chat about their day.",carlotta male partner newspaper advertised sex surrogates make house calls husband cant satisfy wife hires carlotta surprised relaxed casual suggestion unprotected oral anal sex order help indeed manages bring orgasm couldnt give wife satisfied comes clean wife counters anger asking schedule session carlottas male partner carlotta hired whole couple surprised asks demonstrate intercourse first commentates also casually fully joins first wife indeed meets carlottas male partner quickly suggests sex even slaps butt act later first couple invites third couple cant help demonstrating new moves sex surrogates taught second couple arrives moments later joins sex orgy well film ends first husband suggesting frustrated couples audience hire sex surrogates followed carlotta male partner chat day, drama 
59, The Saphead (1920) ," Nick Van Alstyne owns the Henrietta silver mine and is very rich. His son Bertie is naive and spoiled. His daughter Rose is married to shady investor Mark. Mark wrecks Bertie's wedding plans by making him take the blame for Mark's illegitimate daughter. Mark also nearly ruins the family business by selling off Henrietta stock at too low a price. Bertie, of all people, must come to the rescue on the trading floor.",nick van alstyne owns henrietta silver mine rich son bertie naive spoiled daughter rose married shady investor mark mark wrecks berties wedding plans making take blame marks illegitimate daughter mark also nearly ruins family business selling henrietta stock low price bertie people must come rescue trading floor, drama 
60, Philanthropy Inc (2009) ," When big business meets big charity, the partnership can be very profitable for both. At the same time this modern-day alliance presents interesting ethical questions about the nature of corporate altruism. Philanthropy Inc. tells the story of this new phenomenon using three case studies involving three of the world's largest corporations and three of the world's largest charities. Each story is an example of how the partnership of business and charity can work, and sometimes not work. Philanthropy, Inc., explores the ethical questions by taking them to the people who know this issue best. We speak to the leaders at the forefront of the movement and examine high profile case studies involving some of North America's corporate giants like Coca-Cola, Wal-Mart and General Mills.",big business meets big charity partnership profitable time modern day alliance presents interesting ethical questions nature corporate altruism philanthropy inc tells story new phenomenon using three case studies involving three worlds largest corporations three worlds largest charities story example partnership business charity work sometimes work philanthropy inc explores ethical questions taking people know issue best speak leaders forefront movement examine high profile case studies involving north americas corporate giants like coca cola wal mart general mills, drama 
61, Challenging Heaven (2014) ," In August 1945, at the tail end of WW2, a young GI, a Chinese language expert, is flown over the roof of the world into China. His name is Sidney Rittenberg. Rittenberg is an idealist. On his discharge from the army, he decides to stay on. It's the start of a strange and dangerous adventure. He makes contact with some young Chinese - idealists like himself -- who are working for the revolutionary leader, Mao Zedong and against the military dictatorship of Generalissimo Chiang Kaishek. One of these young revolutionaries is a beautiful girl called Yulin. As Civil War looms, Rittenberg gets more and more deeply committed. American foreign policy is ostensibly to broker a peace between Mao and Chiang. In reality, America is backing Chiang's utterly corrupt regime in the belief that the Generalissimo is bound to win a Civil War. But Mao is also looking West, towards America. Rittenberg becomes directly involved in these secret overtures. He dreams of becoming a bridge between America a new China. But nobody in Washington is really listening. In scenes with General Marshall and President Truman we see how America stumbled yet again into a disastrous foreign policy blunder. Rittenberg treks north, to Mao's base in Yan'an. He meets Mao. Mao gives him a job. He also hooks up again with Yulin. They fall in love. They marry. Civil War erupts. Rittenberg and Yulin are with Mao as he inflicts defeat after defeat on Chiang's forces. America has backed the wrong horse. As Mao's army claims victory and the Generalissimo flees the country, Rittenberg's dream is still alive. He is ordered to Beijing. He believes that this is his moment. It's a cruel deception. After America had ignored Mao's overtures, the Chinese saw no choice but to renew their old alliance with the Russians. On orders from Moscow, Rittenberg is arrested as an American spy. He experiences for himself the dark and deadly side of the movement to which he has pledged his full allegiance: the nightmare of the Chinese Communist penal system. On Stalin's death, in 1953, Rittenberg is released. He stays in China. He stays with Yulin. All this is true. It is historical fact. And Sidney Rittenberg is still going strong, at 93 - a living witness to the revolution that changed the world and that we see, in this movie, for the first time, from a completely fresh perspective.",august tail end young chinese language expert flown roof world china name sidney rittenberg rittenberg idealist discharge army decides stay start strange dangerous adventure makes contact young chinese idealists like working revolutionary leader mao zedong military dictatorship generalissimo chiang kaishek one young revolutionaries beautiful girl called yulin civil war looms rittenberg gets deeply committed american foreign policy ostensibly broker peace mao chiang reality america backing chiangs utterly corrupt regime belief generalissimo bound win civil war mao also looking west towards america rittenberg becomes directly involved secret overtures dreams becoming bridge america new china nobody washington really listening scenes general marshall president truman see america stumbled yet disastrous foreign policy blunder rittenberg treks north maos base yanan meets mao mao gives job also hooks yulin fall love marry civil war erupts rittenberg yulin mao inflicts defeat defeat chiangs forces america backed wrong horse maos army claims victory generalissimo flees country rittenbergs dream still alive ordered beijing believes moment cruel deception america ignored maos overtures chinese saw choice renew old alliance russians orders moscow rittenberg arrested american spy experiences dark deadly side movement pledged full allegiance nightmare chinese communist penal system stalins death rittenberg released stays china stays yulin true historical fact sidney rittenberg still going strong living witness revolution changed world see movie first time completely fresh perspective, drama 
62, Rosetta (1999) ," The first scene, like almost all others, is a fighting scene. A girl, about 18, is sacked from her factory work because her trial period is over. The girl, Rosetta, is quite upset and the cops will have to arrive to get her out. She has her reasons: she lives in a caravan, with her alcoholic mother. She goes looking for work as some go to the war. Treasons, murders are in her mind, if not in her acts.",first scene like almost others fighting scene girl sacked factory work trial period girl rosetta quite upset cops arrive get reasons lives caravan alcoholic mother goes looking work war treasons murders mind acts, drama 
63, Karussell (2016) ," Ten episodes tell the stories of ten encounters involving a male hooker, an actor, a cleaning lady, a female theater director, a male kindergarten teacher, a poetess, a publisher, a woman, who is a lawyer, a male puppeteer and a female make-up artist. The whole circle is triggered by the off-chance meeting of the poetess and the puppeteer on an overnight bus to Vienna, where the puppeteer succeeds in persuading the poetess to stay for a day in Vienna. All the encounters take place in one day and after 24 hours they meet again, but their lives have changed.",ten episodes tell stories ten encounters involving male hooker actor cleaning lady female theater director male kindergarten teacher poetess publisher woman lawyer male puppeteer female make artist whole circle triggered chance meeting poetess puppeteer overnight bus vienna puppeteer succeeds persuading poetess stay day vienna encounters take place one day hours meet lives changed, drama 
64, Bez strakha (1971) ," A Bolshevik army officer and Uzbek who has been nursed back to health by a young Uzbek woman to whom he is now married, gains responsibility for the local village in 1929. He is urged by comrades in Tashkent to have the local women drop their chadors and veils but he is also told that he should not force this on anyone. His wife declines to take off her veil, so a 14 year old girl steps forward to set the example, over the objections of the local Muslim clergy and most of the village men. After the girl is killed, and the commissar is shot, his wife takes him to the hills to nurse him back to health once again. She begs her husband to leave the village. Instead when he decides to return, she is pressured by her father to continue to wear the veil.",bolshevik army officer uzbek nursed back health young uzbek woman married gains responsibility local village urged comrades tashkent local women drop chadors veils also told force anyone wife declines take veil year old girl steps forward set example objections local muslim clergy village men girl killed commissar shot wife takes hills nurse back health begs husband leave village instead decides return pressured father continue wear veil, drama 
65, S lyubov i nezhnost (1978) ," The sculptor Hristo spends years working on his masterpiece - an enormous metal construction, representing the spirit of a modern era. He lives far away from the noise and hassle, in a self-chosen exile by the sea. His difficult faith befalls Lote - the loving and silent wife of the artist. The anglers of the village are compassionate and they help them. One morning guests from the capital arrive. They want to buy the unfinished art piece at any price. The moment is dramatic. The artist wants to finish what he has started but Lote knows that he is possessed by this piece and he will never finish it. One must decide. Hristo is still not sure. Little Patricia came with her parents to visit the artist. Her look turns into a moral judge for the adults. With pain and suffering, Hristo gives his creation away.",sculptor hristo spends years working masterpiece enormous metal construction representing spirit modern era lives far away noise hassle self chosen exile sea difficult faith befalls lote loving silent wife artist anglers village compassionate help one morning guests capital arrive want buy unfinished art piece price moment dramatic artist wants finish started lote knows possessed piece never finish one must decide hristo still sure little patricia came parents visit artist look turns moral judge adults pain suffering hristo gives creation away, drama 
66," ""Of Many Things"" (1953) "," A discussion program covering a wide range of topics, e.g., the capture of the German U-Boat U-505 discussed by Admiral Dan Gallery, the captain of the ship that captured it, American popular music with Mitch Miller, etc.",discussion program covering wide range capture german boat discussed admiral dan gallery captain ship captured american popular music mitch miller etc, drama 
67, Barney: All About Opposites (2012) ," There's nonstop fun as Barney and his friends go and learn all about opposites! Everyone helps Baby BopT understand concepts like up and down, in and out, high and low. Hey Diddle Diddle, the kids see that they can be big or little but it's what's inside that counts! Then join in as Barney and his friends have a cool time on a hot day in a pretend winter-summer wonderland learning about hot and cold! There's always Tee-riffic teaching and fun when big dinos and small friends are around!",theres nonstop fun barney friends learn opposites everyone helps baby bopt understand concepts like high low hey diddle diddle kids see big little whats inside counts join barney friends cool time hot day pretend winter summer wonderland learning hot cold theres always tee riffic teaching fun big dinos small friends around, drama 
68, Barely Dead: The Saga of Modern Rollerblading (2008) ," Film is about an underground culture that has grown beyond ethnic, economic and social boundaries- a culture brought together by a shared love for rollerblading. The film reveals why rollerblading culture is going to be the next great anti-establishment movement for the 21st century.",film underground culture grown beyond ethnic economic social boundaries culture brought together shared love rollerblading film reveals rollerblading culture going next great anti establishment movement century, drama 
69, Something About Ryan (2009) ," ""Something About Ryan"" chronicles the misadventures of Ryan Nuzzolo, a live-at-home slacker from Staten Island, who doesn't want to grow up and move out of his parent's house. Ryan's lifestyle includes hanging in front of the TV, attending a community college, and partying all the time with his best friend and neighbor, Anthony. The problem is that Ryan doesn't look for trouble-it has a habit of finding him.",something ryan chronicles misadventures ryan nuzzolo live home slacker staten island doesnt want grow move parents house ryans lifestyle includes hanging front attending community college partying time best friend neighbor anthony problem ryan doesnt look trouble habit finding, drama 
70, Tim Minchin: So Live (2007) ," Tim Minchin's live concert captured for this DVD, performed at the Sydney Opera House, in one of the smaller Studio Theatre rooms. This is an intimate show and the vibe within the venue is a little proper, but they do seem to enjoy themselves. Tim's act is a compilation of pieces from his successful stage shows Dark Side and So Rock, combining spoken stand-up routines with hilariously witty musical numbers on the piano - an instrument on which Tim is clearly more than adept. To my mind, Tim's comedic forte combines the 'rock' aspirations of Tenacious D with the supreme wit and cabaret-style musical flair of Neil Innes' Bonzo Dog Band. He's a fantastic musician, an intelligent, thought-provoking lyricist and a side-splittingly hilarious showman.",tim minchins live concert captured dvd performed sydney opera house one smaller studio theatre rooms intimate show vibe within venue little proper seem enjoy tims act compilation pieces successful stage shows dark side rock combining spoken stand routines hilariously witty musical numbers piano instrument tim clearly adept mind tims comedic forte combines rock aspirations tenacious supreme wit cabaret style musical flair neil innes bonzo dog band hes fantastic musician intelligent thought provoking lyricist side splittingly hilarious showman, drama 
71, Onward & Upward (2018) ," For over one hundred years the 9 historically black fraternities and sororities of the National Pan-Hellenic Council have worked tirelessly to improve the lot of African-Americans, striving for equality, education, and full participation in American life. Those organizations include Alpha Phi Alpha, Alpha Kappa Alpha, Omega Psi Phi, Delta Sigma Theta, Kappa Alpha Psi, Sigma Gamma Rho, Phi Beta Sigma, Zeta Phi Beta, and Iota Phi Theta; together, these organizations have helped mold some of the most relevant and dynamic African-American leaders of our times. W.E.B. Dubois, Coretta Scott King, Jesse Jackson, Thurgood Marshall, Shirley Chisholm, Stokely Carmichael, John Lewis, Ralph David Abernathy, Rosa Parks, Andrew Young, and Martin Luther King, Jr. are among the countless men and women who crossed the burning sands. They pledged to uphold the light of excellence and serve the community through their respective fraternities and sororities. The history of these women and men is the history of America, and their place in leading African-American progress is unparalleled. This is the story of the divine 9's leadership and service.",one hundred years historically black fraternities sororities national pan hellenic council worked tirelessly improve lot african americans striving equality education full participation american life organizations include alpha phi alpha alpha kappa alpha omega psi phi delta sigma theta kappa alpha psi sigma gamma rho phi beta sigma zeta phi beta iota phi theta together organizations helped mold relevant dynamic african american leaders times dubois coretta scott king jesse jackson thurgood marshall shirley chisholm stokely carmichael john lewis ralph david abernathy rosa parks andrew young martin luther king among countless men women crossed burning sands pledged uphold light excellence serve community respective fraternities sororities history women men history america place leading african american progress unparalleled story divine leadership service, drama 
72, Challenger (1990) ," This film profiles the astronauts, crew, and civilians who were involved in the January 28, 1986 flight of the space shuttle Challenger, that resulted in its explosion 73 seconds after takeoff. Center point of the film is the safety inspections and arguments surrounding the use of the o-rings that ultimately were blamed for the explosion. Film is lent authenticity by being filmed at the Johnson Space Center in Texas.",film profiles astronauts crew civilians involved january flight space shuttle challenger resulted explosion seconds takeoff center point film safety inspections arguments surrounding use rings ultimately blamed explosion film lent authenticity filmed johnson space center texas, drama 
73, Mini-Skirt Love (1967) ," Billy is a teenager and enthusiastic photo hobbyist who takes pictures of his mother carrying on with another man, but is too naive to realize his mother is engaging in more than innocent horseplay. When he innocently shows his pictures to Daddy, he unwittingly starts a melee that ends in Daddy's accidental death and Mommy's mental collapse and confinement in a hospital. Enter Aunt Janet, Daddy's sister, to take care of Billy. Supposedly a frigid woman who ""can't stand men"", Aunt Janet is nevertheless loving and affectionate with young Billy, and when she sees the fatal snapshots, she even takes their relationship to the next level. But can their happy life together survive the return from hospital of a still-disturbed Mommy?",billy teenager enthusiastic photo hobbyist takes mother carrying another man naive realize mother engaging innocent horseplay innocently shows daddy unwittingly starts melee ends daddys accidental death mommys mental collapse confinement hospital enter aunt janet daddys sister take care billy supposedly frigid woman cant stand men aunt janet nevertheless loving affectionate young billy sees fatal snapshots even takes relationship next level happy life together survive return hospital still disturbed mommy, drama 
74, Blue Car (2002) ," Gifted 18-year-old Meg has been abandoned by her father and neglected by her hardworking mother. Left to care for her emotionally disturbed younger sister, her world begins to unravel. She finds an outlet in writing poetry and support from her English teacher, Mr. Auster. But what started out as a mentoring relationship begins to get a bit more complex.",gifted year old meg abandoned father neglected hardworking mother left care emotionally disturbed younger sister world begins unravel finds outlet writing poetry support english teacher auster started mentoring relationship begins get bit complex, drama 
75, Kosztolányi Dezsö novellái: Lidike (????) ," Mail <svaradi@sprynet.com> for translation. Kosztolanyi gyermekkorat idezi fel ebben az irasaban. Irodalomtorteneszek: Tarjan Tamas, Rez Pal, Karolyi Csaba beszelnek az irorol, palyajarol, a kolto es prozairo Kosztolanyirol, majd Balint Andras felolvassa az elbeszelest.",mail svaradi translation kosztolanyi gyermekkorat idezi fel ebben irasaban irodalomtorteneszek tarjan tamas rez pal karolyi csaba beszelnek irorol palyajarol kolto prozairo kosztolanyirol majd balint andras felolvassa elbeszelest, drama 
76, Mexique mort ou vif (1996) ," Terre de soleil, le Mexique est aussi terre de violence. Comme en témoigne Mario Rojas Alba, médecin et ancien député de l'opposition forcé de s'exiler ŕ Montréal aprčs avoir échappé ŕ un attentat. De retour au Mexique, il nous explique le comment du pourquoi des mécanismes de la répression politique et de la violence mexicaines.Ce film révčle le côté sombre de cet immense pays, avec lequel le Canada a resserré ses liens depuis l'entrée en vigueur de l'Accord de libre-échange nord-américain (ALÉNA) en janvier 1994. Une entente contestée par bon nombre de Mexicains, en particulier les autochtones du Chiapas qui se sont soulevés pour réclamer une société plus équitable et démocratique. Ŕ l'occasion de la Journée des morts, les familles et les amis rendent hommage ŕ la mémoire 'des disparus' et les veuves des opposants politiques assassinés portent des fleurs sur leurs tombes. Auprčs d'eux Mario Rojas réaffirme son engagement pour une transition pacifique vers une démocratie véritable. Il proclame son amour du pays natal oů, malgré l'incertitude politique, les fleurs repoussent chaque printemps. Thčmes: société, histoire, politique, luttes sociales, art et culture.",terre soleil mexique est aussi terre violence comme moigne mario rojas alba decin ancien put lopposition forc sexiler montr apr avoir chapp attentat retour mexique nous explique comment pourquoi des canismes pression politique violence mexicaines film sombre cet immense pays avec lequel canada resserr ses liens depuis lentr vigueur laccord libre change nord ricain janvier une entente contest par bon nombre mexicains particulier les autochtones chiapas qui sont soulev pour clamer une soci plus quitable mocratique loccasion journ des morts les familles les amis rendent hommage moire des disparus les veuves des opposants politiques assassin portent des fleurs sur leurs tombes aupr deux mario rojas affirme son engagement pour une transition pacifique vers une mocratie ritable proclame son amour pays natal malgr lincertitude politique les fleurs repoussent chaque printemps mes soci histoire politique luttes sociales art culture, drama 
77, Abandoned the Forgotten Ones (2018) , A feature film about Drug Addiction and the impact it has on children. Follow the life of a very successful businessman who grew up in a drug riddled home. Abused and Broken He makes a childhood promise that no kid in his town will suffer the way he did.,feature film drug addiction impact children follow life successful businessman grew drug riddled home abused broken makes childhood promise kid town suffer way, drama 
78, Baby (2016/I) ," Baby is a runaway teenager in trouble, and her last chance is a foster home with an old hippie couple that runs a dog sledding team. Baby comes to love the dogs and takes naturally to sledding, but when her boyfriend Bobby shows up she can't stop herself from running off with him and taking one of the puppies with her. Adapted from Joseph Monninger's successful Young Adult novel BABY.",baby runaway teenager trouble last chance foster home old hippie couple runs dog sledding team baby comes love dogs takes naturally sledding boyfriend bobby shows cant stop running taking one puppies adapted joseph monningers successful young adult novel baby, drama 
79, Backfire! (1995) ," Just as Jeremy Jackson attempts to become the first male firewoman in New York, fires begin mysteriously erupting from toilets all over the City and Fire Marshal Marc Marshall is called in to investigate. From the start, Jeremy is heckled and sexually harassed by his tough as nails female cohorts including his instructor, the hard-boiled Lt. Shithouse. Jessica Luvintryst, Jeremy's old flame and the Mayor's very personal assistant, rekindles the fire in his eyes and between his thighs. Jeremy discovers trace jet fuel at the fire sites and soon becomes hot on the trail of The Most Evil Man and his diabolical scheme. In the tradition of Naked Gun, Backfire spoofs Backdraft.",jeremy jackson attempts become first male firewoman new york fires begin mysteriously erupting toilets city fire marshal marc marshall called investigate start jeremy heckled sexually harassed tough nails female cohorts including instructor hard boiled shithouse jessica luvintryst jeremys old flame mayors personal assistant rekindles fire eyes thighs jeremy discovers trace jet fuel fire sites soon becomes hot trail evil man diabolical scheme tradition naked gun backfire spoofs backdraft, drama 
80, On Hostile Ground (2001) ," A small number of healthcare professionals in this country have become targets in a civil war. They receive little public support for their work and face dedicated and unpredictable opponents. Their ranks are shrinking. On Hostile Ground enters the lives of three abortion providers to reveal the obstacles (practical, legal, and emotional) that they face everyday, and shows them struggle with the decision to perform this procedure. It allows providers who work on hostile ground to tell their stories by being themselves, without the help of a narrator. They reveal what their professional decision has done to their personal and family lives. While they each have their own stories, they are all driven more by personal experiences and spiritual beliefs than by political conviction. They each express anger, confusion, and resentment in their own way. By weaving together three very different character portraits, this documentary takes an unusual approach to a volatile social conflict, portraying abortion through the personal stories of those who are in mortal danger because they provide it.",small number healthcare professionals country become targets civil war receive little public support work face dedicated unpredictable opponents ranks shrinking hostile ground enters lives three abortion providers reveal obstacles practical legal emotional face everyday shows struggle decision perform procedure allows providers work hostile ground tell stories without help narrator reveal professional decision done personal family lives stories driven personal experiences spiritual beliefs political conviction express anger confusion resentment way weaving together three different character portraits documentary takes unusual approach volatile social conflict portraying abortion personal stories mortal danger provide, drama 
81, Crafting Your Career: How to Turn Your Hobby Into a Business (2005) ," Priscilla Hauser took her hobby of decorative painting and made it into a career, at first by selling the things she made, and later by writing books about decorative painting and teaching it. Priscilla tells the story of how she created her business. She offers advice to viewers on how they turn their hobbies into a career as well. Many interviews with her family, friends, employees and former students are shown. Priscilla gives a brief demonstration of how to paint a rose.",priscilla hauser took hobby decorative painting made career first selling things made later writing books decorative painting teaching priscilla tells story created business offers advice viewers turn hobbies career well many interviews family friends employees former students shown priscilla gives brief demonstration paint rose, drama 
82, Kids Get Dead 2: The Kids Get Deader (2014) ," Kids Get Dead 2: The Kids Get Deader is a return to the classic midnight movie slasher genre, featuring horror hostess Peaches McNeil (Samantha Glovin). Continuing where part one left off; after years of nightmares and therapy sessions, Casey (Leah Rudick) sets out to find the author of a mysterious novel that foretold the brutal murder of her brother at the hands of a masked maniac. Meanwhile, it's all boobs, blood and rock 'n' roll for a group of teenagers at a house party, except for Brian (Bradley Creanzo) who is buried in Charles Carver's (Steve Buja) latest novel. When the crazed Killer (Alexander Kollar) returns to slaughter their sexcapades with blood-splattering similarity found within the books pages, Brian and Casey struggle to unseal their own fates described in the novel before it's too late. Are they just characters in a story, living out the brutal fantasies of a mad man? Or can free will save them from the clutches of a gruesome destiny?",kids get dead kids get deader return classic midnight movie slasher genre featuring horror hostess peaches mcneil samantha glovin continuing part one left years nightmares therapy sessions casey leah rudick sets find author mysterious novel foretold brutal murder brother hands masked maniac meanwhile boobs blood rock roll group teenagers house party except brian bradley creanzo buried charles carvers steve buja latest novel crazed killer alexander kollar returns slaughter sexcapades blood splattering similarity found within books pages brian casey struggle unseal fates described novel late characters story living brutal fantasies mad man free save clutches gruesome destiny, drama 
